                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6145,                 1.4175,                 1.4123,                0.83207,                0.76987,                0.83895,                 0.4199,                 1.6697,                 1.1901,                 1.3747,             0.00066333,             0.00066333,             0.00066333
                      2,                 1.6062,                 1.3824,                  1.414,                 0.8824,                0.71967,                0.80915,                0.32782,                 1.9556,                 1.4294,                 1.5632,              0.0012861,              0.0012861,              0.0012861
                      3,                 1.6421,                 1.4247,                 1.4301,                0.81903,                0.71958,                0.79119,                0.32121,                  1.824,                 1.4092,                 1.4814,              0.0018649,              0.0018649,              0.0018649
                      4,                  1.616,                   1.37,                 1.4051,                0.89596,                0.72064,                0.82644,                0.41779,                 1.6701,                 1.2084,                 1.4017,               0.001802,               0.001802,               0.001802
                      5,                 1.6119,                 1.3119,                 1.4088,                0.88956,                0.80883,                0.90744,                0.47197,                 1.6371,                 1.0056,                 1.3478,               0.001736,               0.001736,               0.001736
                      6,                 1.6009,                 1.2821,                 1.3986,                   0.83,                0.79668,                0.86003,                0.37614,                 1.8667,                 1.2823,                 1.4138,                0.00167,                0.00167,                0.00167
                      7,                 1.5541,                  1.223,                 1.3618,                0.84676,                 0.8092,                0.88358,                0.43364,                 1.7181,                 1.0712,                 1.3683,               0.001604,               0.001604,               0.001604
                      8,                 1.5352,                 1.1921,                 1.3501,                0.91614,                0.77706,                0.88128,                0.47273,                 1.6288,                0.99638,                 1.3484,               0.001538,               0.001538,               0.001538
                      9,                 1.5095,                 1.1344,                 1.3433,                0.89148,                0.85356,                0.91535,                0.49973,                 1.5417,                0.91452,                 1.3274,               0.001472,               0.001472,               0.001472
                     10,                  1.491,                 1.1078,                 1.3283,                0.86674,                0.78924,                0.86908,                0.43516,                   1.73,                 1.0056,                 1.3853,               0.001406,               0.001406,               0.001406
                     11,                 1.4687,                 1.0792,                 1.3038,                0.86206,                0.77406,                0.87925,                0.47263,                 1.5665,                 1.0204,                  1.315,                0.00134,                0.00134,                0.00134
                     12,                 1.4517,                 1.0723,                 1.2968,                0.92626,                0.83682,                0.92215,                0.46336,                 1.6521,                0.87164,                 1.3438,               0.001274,               0.001274,               0.001274
                     13,                  1.425,                 1.0292,                 1.2905,                0.93821,                0.81172,                0.92634,                0.51365,                 1.5165,                0.85654,                 1.2862,               0.001208,               0.001208,               0.001208
                     14,                  1.437,                 1.0196,                 1.2822,                0.93421,                0.81172,                0.92481,                0.53652,                 1.4791,                0.83605,                 1.2479,               0.001142,               0.001142,               0.001142
                     15,                 1.4023,                0.96553,                 1.2563,                0.95258,                0.82008,                0.91818,                0.49256,                 1.5485,                0.89231,                 1.2893,               0.001076,               0.001076,               0.001076
                     16,                  1.379,                0.96318,                 1.2449,                0.91953,                  0.841,                0.90642,                0.51114,                 1.5378,                 0.8803,                 1.2823,                0.00101,                0.00101,                0.00101
                     17,                 1.3736,                0.93295,                 1.2396,                0.95964,                0.82427,                0.93666,                0.51398,                 1.5612,                0.84326,                 1.3258,               0.000944,               0.000944,               0.000944
                     18,                 1.3494,                0.90569,                 1.2327,                0.88843,                0.88703,                0.94216,                0.53539,                 1.4946,                0.78675,                 1.2615,               0.000878,               0.000878,               0.000878
                     19,                 1.3391,                0.88302,                 1.2285,                0.90945,                0.88285,                0.93836,                0.52394,                  1.505,                0.81845,                 1.2392,               0.000812,               0.000812,               0.000812
                     20,                 1.3427,                0.87858,                 1.2245,                0.89562,                0.89958,                0.94875,                0.51227,                 1.6002,                0.79863,                 1.2957,               0.000746,               0.000746,               0.000746
                     21,                 1.2407,                0.68463,                 1.2058,                0.90034,                0.86611,                0.93224,                  0.523,                 1.5404,                0.79934,                  1.307,                0.00068,                0.00068,                0.00068
                     22,                 1.2087,                0.64759,                 1.1897,                0.90184,                0.88417,                0.93094,                0.52285,                 1.4799,                0.78531,                 1.2462,               0.000614,               0.000614,               0.000614
                     23,                 1.1821,                 0.6427,                  1.172,                0.94525,                0.88703,                0.94618,                0.55485,                 1.4668,                0.75504,                 1.2503,               0.000548,               0.000548,               0.000548
                     24,                 1.1645,                0.61189,                 1.1567,                0.94122,                0.87097,                0.94217,                0.53723,                  1.475,                0.74583,                 1.2484,               0.000482,               0.000482,               0.000482
                     25,                 1.1506,                0.61187,                 1.1505,                0.92305,                0.87448,                0.94747,                 0.5526,                 1.4497,                0.73226,                  1.246,               0.000416,               0.000416,               0.000416
                     26,                 1.1046,                0.57678,                 1.1327,                0.93896,                0.86611,                0.94647,                0.56601,                 1.4071,                0.72538,                 1.2106,                0.00035,                0.00035,                0.00035
                     27,                 1.0863,                0.56665,                 1.1177,                0.93736,                 0.8765,                0.93215,                0.53784,                 1.4857,                0.74118,                 1.2552,               0.000284,               0.000284,               0.000284
                     28,                 1.0634,                 0.5429,                 1.1059,                0.96994,                0.85356,                0.94225,                0.56272,                 1.4361,                0.73236,                 1.2177,               0.000218,               0.000218,               0.000218
                     29,                 1.0464,                 0.5339,                 1.0983,                0.95129,                0.87029,                0.94812,                 0.5684,                  1.417,                0.70887,                 1.2139,               0.000152,               0.000152,               0.000152
                     30,                 1.0211,                0.53077,                 1.0866,                0.93462,                0.89958,                0.94638,                0.56891,                 1.4248,                0.70328,                  1.211,                8.6e-05,                8.6e-05,                8.6e-05
