                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6014,                 1.3881,                 1.3995,                0.31104,                0.04184,                0.04194,                0.00765,                 1.6324,                 2.3388,                0.92178,             0.00066333,             0.00066333,             0.00066333
                      2,                 1.5877,                 1.3522,                 1.3997,                0.60357,                0.06695,                0.06046,                0.01362,                 1.9075,                 3.2556,                 1.0221,              0.0012642,              0.0012642,              0.0012642
                      3,                 1.6075,                 1.3684,                 1.4095,                0.61324,                0.09623,                0.10587,                0.02642,                 2.0286,                 3.3332,                 1.0594,               0.001799,               0.001799,               0.001799
                      4,                 1.6096,                 1.3383,                 1.4026,                0.56735,                0.07531,                0.08178,                0.02108,                 1.6891,                 2.3844,                0.91937,               0.001703,               0.001703,               0.001703
                      5,                 1.6039,                 1.3141,                 1.4042,                0.64671,                0.07531,                0.08089,                0.01726,                 1.6249,                 2.4155,                0.92911,               0.001604,               0.001604,               0.001604
                      6,                 1.5677,                 1.2622,                 1.3767,                 0.3087,                0.08368,                0.07415,                 0.0189,                 1.5269,                 2.4882,                0.88271,               0.001505,               0.001505,               0.001505
                      7,                 1.5354,                 1.2225,                 1.3618,                0.33088,                0.03347,                0.04438,                0.01336,                 1.6709,                 2.0587,                0.89406,               0.001406,               0.001406,               0.001406
                      8,                 1.5274,                   1.17,                 1.3547,                0.64239,                0.04184,                0.07415,                0.02448,                 1.6842,                 2.0546,                0.89753,               0.001307,               0.001307,               0.001307
                      9,                 1.4842,                 1.1202,                 1.3172,                0.56981,                0.08787,                0.09663,                0.02122,                 1.6229,                 1.8448,                0.89533,               0.001208,               0.001208,               0.001208
                     10,                 1.4728,                 1.0874,                 1.3206,                0.50475,                0.06276,                0.07283,                0.01821,                 1.5703,                  1.986,                0.89317,               0.001109,               0.001109,               0.001109
